job_id,company_name,industry,job_title,skills_required,experience_level,employment_type,location,salary_range_usd,posted_date,company_size,tools_preferred,min_salary,max_salary,avg_salary
318,"Reyes, Miller and Burke",Retail,ML Engineer,"Scikit-learn, R, TensorFlow, Power BI, Azure",Mid,Internship,"West Julie, ZM",66368-81382,2024-06-22,Mid,"PyTorch, LangChain",66368.0,81382.0,73875.0
319,"Russell, Kim and Harris",Retail,AI Product Manager,"Keras, Python, Reinforcement Learning, Scikit-learn",Mid,Full-time,"South Staceyview, PY",115773-215403,2024-09-15,Startup,"KDB+, MLflow, TensorFlow",115773.0,215403.0,165588.0
320,Miller-Holland,E-commerce,NLP Engineer,"Flask, NumPy, Keras, AWS, SQL",Entry,Contract,"Lake Nicole, SB",130032-174733,2024-02-19,Startup,LangChain,130032.0,174733.0,152382.5
321,Anthony-Gould,Automotive,AI Researcher,"Hugging Face, Azure, NumPy, Scikit-learn, Pandas",Senior,Full-time,"Davisstad, HR",105292-172671,2024-09-22,Large,"PyTorch, Scikit-learn, FastAPI",105292.0,172671.0,138981.5
322,Adams-Hill,Automotive,NLP Engineer,"Azure, R, CUDA",Senior,Full-time,"Lewisville, PW",98122-119896,2024-12-18,Large,"MLflow, PyTorch, FastAPI",98122.0,119896.0,109009.0
323,Salas Inc,Retail,AI Product Manager,"Excel, Keras, GCP, MLflow",Senior,Full-time,"West Veronica, CN",122419-186888,2024-10-01,Mid,"BigQuery, TensorFlow, FastAPI",122419.0,186888.0,154653.5
324,Morrison-Patel,Education,AI Researcher,"Pandas, Excel, NumPy, LangChain",Senior,Internship,"South Brianfurt, VE",73317-167850,2025-01-01,Startup,"Scikit-learn, FastAPI",73317.0,167850.0,120583.5
325,Moyer-Simpson,Healthcare,Data Scientist,"Pandas, FastAPI, Scikit-learn, AWS",Mid,Remote,"Lake Ricky, CF",52740-129282,2025-01-25,Mid,"MLflow, TensorFlow",52740.0,129282.0,91011.0
326,Jimenez PLC,Finance,AI Product Manager,"MLflow, Scikit-learn, Python, Reinforcement Learning, C++",Mid,Contract,"East Sandra, CR",130522-169280,2024-01-21,Mid,"FastAPI, Scikit-learn, MLflow",130522.0,169280.0,149901.0
327,Atkinson-Gonzales,Tech,NLP Engineer,"FastAPI, Azure, LangChain, GCP",Entry,Internship,"Jonathanland, LB",146948-163508,2024-07-30,Mid,KDB+,146948.0,163508.0,155228.0
328,Cook LLC,Tech,Quant Researcher,"Reinforcement Learning, Hugging Face, Scikit-learn, C++",Senior,Internship,"Erikastad, TJ",63681-156946,2025-04-17,Mid,MLflow,63681.0,156946.0,110313.5
329,Wagner Inc,Tech,Quant Researcher,"Azure, PyTorch, Keras",Mid,Full-time,"Lake Kelseystad, LB",102993-176878,2024-08-06,Mid,"TensorFlow, MLflow, FastAPI",102993.0,176878.0,139935.5
330,Galloway-Martinez,Tech,ML Engineer,"Pandas, FastAPI, TensorFlow, SQL",Senior,Full-time,"Michaelland, VC",146286-228405,2024-04-02,Large,MLflow,146286.0,228405.0,187345.5
331,Love-Rhodes,Retail,Data Scientist,"AWS, Power BI, R, NumPy, Scikit-learn, LangChain",Senior,Internship,"Port Elizabeth, CZ",55546-105329,2024-04-15,Startup,"KDB+, FastAPI, LangChain",55546.0,105329.0,80437.5
332,Stewart-Kennedy,E-commerce,Data Scientist,"C++, AWS, MLflow",Senior,Remote,"Lake Kathleenstad, TZ",84124-96081,2024-10-16,Startup,LangChain,84124.0,96081.0,90102.5
333,Sparks and Sons,Tech,NLP Engineer,"Flask, PyTorch, C++, Pandas, TensorFlow",Entry,Full-time,"North Emilymouth, FR",105170-188370,2023-11-19,Mid,"TensorFlow, KDB+",105170.0,188370.0,146770.0
334,White Inc,Healthcare,Computer Vision Engineer,"Azure, PyTorch, R, Reinforcement Learning, Flask, Keras",Mid,Full-time,"Port Robert, MV",55923-98036,2023-10-07,Mid,Scikit-learn,55923.0,98036.0,76979.5
335,Watson Ltd,E-commerce,AI Researcher,"Scikit-learn, R, TensorFlow, PyTorch",Senior,Full-time,"Port Justinfurt, MK",120230-164622,2025-02-05,Mid,"BigQuery, LangChain, MLflow",120230.0,164622.0,142426.0
336,Clark-Bailey,Education,Data Analyst,"MLflow, Keras, C++, GCP, NumPy",Mid,Internship,"North Shelly, KZ",126208-174920,2025-06-22,Large,"BigQuery, TensorFlow",126208.0,174920.0,150564.0
337,Holland-Mcgee,Education,Quant Researcher,"GCP, Power BI, Python, Azure, Hugging Face, CUDA",Senior,Remote,"East Christiebury, LR",123659-207607,2024-09-28,Startup,"LangChain, Scikit-learn",123659.0,207607.0,165633.0
338,"Cummings, Schmidt and Clarke",Tech,Data Scientist,"C++, Excel, MLflow, Pandas, R, NumPy",Mid,Contract,"Stevenmouth, AD",78431-154672,2025-04-22,Large,"PyTorch, BigQuery",78431.0,154672.0,116551.5
339,Hines-Mckinney,E-commerce,Computer Vision Engineer,"Keras, FastAPI, Power BI, MLflow",Mid,Contract,"Lake Christopher, FR",60552-139539,2025-03-10,Large,"MLflow, LangChain",60552.0,139539.0,100045.5
340,Graves and Sons,Healthcare,Data Scientist,"Excel, PyTorch, R, Power BI, Flask, Pandas",Senior,Internship,"West Sara, BB",131559-209584,2024-11-24,Startup,TensorFlow,131559.0,209584.0,170571.5
341,Walker-Davis,Tech,Computer Vision Engineer,"Power BI, R, Scikit-learn",Mid,Internship,"Erinton, MH",122855-194503,2024-12-19,Large,"TensorFlow, MLflow, Scikit-learn",122855.0,194503.0,158679.0
342,"Finley, Bruce and Wheeler",Healthcare,ML Engineer,"Excel, PyTorch, LangChain, Flask, GCP",Entry,Full-time,"West Donald, CG",58087-119465,2024-09-12,Mid,KDB+,58087.0,119465.0,88776.0
343,Simmons-Evans,Tech,AI Product Manager,"Power BI, Scikit-learn, R, Pandas",Entry,Remote,"Thompsonport, BH",60085-116808,2024-08-31,Startup,FastAPI,60085.0,116808.0,88446.5
344,Melton-Salazar,Education,Computer Vision Engineer,"Reinforcement Learning, Python, NumPy, LangChain",Entry,Internship,"Sanderston, KG",146409-165202,2025-02-02,Large,TensorFlow,146409.0,165202.0,155805.5
345,"Anthony, Miller and Russell",E-commerce,Data Analyst,"TensorFlow, Keras, PyTorch, Reinforcement Learning",Senior,Internship,"East Linda, NZ",120234-139093,2024-06-09,Startup,"PyTorch, Scikit-learn",120234.0,139093.0,129663.5
346,Young-Anderson,Education,AI Researcher,"NumPy, GCP, AWS, Python, Keras",Senior,Contract,"East Ryantown, BZ",104105-197396,2024-10-19,Startup,"Scikit-learn, TensorFlow, KDB+",104105.0,197396.0,150750.5
347,"Conway, Hernandez and Perez",Finance,NLP Engineer,"MLflow, Power BI, Keras",Entry,Full-time,"Nunezside, TG",148487-177884,2023-11-18,Large,"PyTorch, TensorFlow, MLflow",148487.0,177884.0,163185.5
348,Anderson and Sons,Automotive,Quant Researcher,"TensorFlow, Power BI, Python, Keras, AWS",Senior,Internship,"Jadeview, BF",80455-100773,2023-11-30,Large,Scikit-learn,80455.0,100773.0,90614.0
349,Ware-Ellis,Automotive,NLP Engineer,"SQL, MLflow, Power BI, FastAPI, NumPy",Senior,Full-time,"Leeview, MA",115657-181953,2024-10-13,Startup,"FastAPI, BigQuery, MLflow",115657.0,181953.0,148805.0
350,"Snyder, Simpson and Maxwell",Tech,AI Product Manager,"FastAPI, NumPy, C++, MLflow, GCP",Senior,Contract,"East Robert, CV",97381-144492,2024-01-16,Large,"Scikit-learn, MLflow",97381.0,144492.0,120936.5
351,Ellis Ltd,Retail,AI Researcher,"SQL, Pandas, Power BI, FastAPI",Entry,Internship,"Bullockton, KP",55751-133772,2023-12-25,Startup,MLflow,55751.0,133772.0,94761.5
352,"Blair, Ruiz and Sanchez",Retail,Computer Vision Engineer,"FastAPI, Power BI, Azure, Python",Entry,Internship,"Perezview, SN",90552-188412,2025-07-23,Mid,"LangChain, KDB+",90552.0,188412.0,139482.0
353,Griffin-Dalton,Education,ML Engineer,"Python, PyTorch, Excel",Entry,Contract,"Knightmouth, AF",69230-128642,2024-01-02,Large,"LangChain, BigQuery, FastAPI",69230.0,128642.0,98936.0
354,Alexander PLC,Automotive,Data Analyst,"LangChain, GCP, R, MLflow, Scikit-learn",Entry,Contract,"Lake Marcia, MT",71489-149503,2025-04-22,Mid,"KDB+, PyTorch",71489.0,149503.0,110496.0
355,"Velazquez, Brewer and Murphy",E-commerce,Quant Researcher,"C++, LangChain, Power BI, Pandas, CUDA, TensorFlow",Senior,Remote,"Mooreville, NP",57739-75267,2025-05-22,Startup,FastAPI,57739.0,75267.0,66503.0
356,Bean LLC,Education,Quant Researcher,"Excel, Power BI, Reinforcement Learning, SQL, NumPy",Senior,Internship,"Port Matthewhaven, ST",149192-228942,2025-09-12,Large,"PyTorch, TensorFlow, MLflow",149192.0,228942.0,189067.0
357,Rogers-Villanueva,E-commerce,ML Engineer,"Flask, FastAPI, CUDA",Mid,Internship,"New Kenneth, DO",91346-160302,2024-06-09,Large,"TensorFlow, FastAPI",91346.0,160302.0,125824.0
358,Taylor PLC,Tech,Data Analyst,"Power BI, MLflow, TensorFlow, AWS, Hugging Face",Senior,Remote,"Schroederport, DK",56886-146884,2024-05-10,Mid,FastAPI,56886.0,146884.0,101885.0
359,Lee Group,Tech,Quant Researcher,"Python, Power BI, Scikit-learn, FastAPI, Excel, SQL",Entry,Full-time,"Taylorstad, MR",56258-108983,2024-12-18,Large,PyTorch,56258.0,108983.0,82620.5
360,"Miller, Browning and Shaw",Tech,AI Product Manager,"Reinforcement Learning, CUDA, NumPy",Senior,Full-time,"Bryanburgh, SK",139096-176960,2024-01-25,Large,MLflow,139096.0,176960.0,158028.0
361,"Branch, Elliott and Ramirez",Automotive,NLP Engineer,"Power BI, Keras, TensorFlow, FastAPI",Entry,Remote,"New Micheletown, NZ",120316-133437,2025-08-21,Large,"MLflow, TensorFlow, FastAPI",120316.0,133437.0,126876.5
362,"Reyes, Vincent and Hayes",Finance,AI Product Manager,"Hugging Face, R, LangChain",Mid,Internship,"Kathleenton, IQ",48868-94542,2025-01-31,Large,FastAPI,48868.0,94542.0,71705.0
363,Rose Ltd,Finance,NLP Engineer,"Pandas, CUDA, AWS, TensorFlow, Python",Entry,Full-time,"South Brianmouth, JM",108994-183026,2025-08-13,Mid,"MLflow, FastAPI, BigQuery",108994.0,183026.0,146010.0
364,Miller-Bishop,Healthcare,AI Product Manager,"Hugging Face, GCP, Excel, NumPy",Senior,Remote,"West Stephaniefort, FR",118921-192736,2024-12-02,Large,"LangChain, FastAPI",118921.0,192736.0,155828.5
365,Krueger-Tanner,E-commerce,AI Product Manager,"LangChain, Reinforcement Learning, FastAPI, Power BI, AWS",Entry,Internship,"Port Rebecca, US",57113-75630,2024-03-25,Mid,"KDB+, TensorFlow, PyTorch",57113.0,75630.0,66371.5
366,"Johnson, Castaneda and Duke",Tech,AI Product Manager,"CUDA, FastAPI, Python",Mid,Full-time,"Powellshire, JM",70702-164914,2025-05-12,Startup,"MLflow, PyTorch",70702.0,164914.0,117808.0
367,"Riley, Beltran and Lucero",E-commerce,Data Analyst,"Flask, TensorFlow, Scikit-learn, MLflow",Entry,Full-time,"North Natalie, EC",114639-183492,2025-06-09,Startup,LangChain,114639.0,183492.0,149065.5
368,Perez-Williams,Healthcare,AI Product Manager,"Scikit-learn, SQL, GCP, Hugging Face",Senior,Contract,"West Denisetown, VU",110697-201149,2024-06-04,Mid,MLflow,110697.0,201149.0,155923.0
369,Silva-Russell,Retail,Data Analyst,"Reinforcement Learning, MLflow, PyTorch, LangChain, Hugging Face, AWS",Senior,Remote,"Petersonchester, UG",68664-136603,2024-09-13,Mid,"TensorFlow, PyTorch",68664.0,136603.0,102633.5
370,"Matthews, Bailey and Banks",Education,NLP Engineer,"R, Python, PyTorch, CUDA",Entry,Remote,"Daughertyborough, SA",64445-150617,2024-09-08,Large,"KDB+, PyTorch, FastAPI",64445.0,150617.0,107531.0
371,Santiago-King,Education,Quant Researcher,"MLflow, Keras, TensorFlow, CUDA, Flask",Entry,Remote,"Lake Linda, AT",74954-114010,2024-10-12,Mid,"Scikit-learn, PyTorch",74954.0,114010.0,94482.0
372,"Caldwell, Richardson and Hines",Retail,AI Researcher,"CUDA, Power BI, Hugging Face, Pandas, MLflow",Senior,Internship,"North Jesusfurt, AL",83014-110116,2025-04-07,Large,KDB+,83014.0,110116.0,96565.0
373,"Washington, Smith and Hicks",Automotive,ML Engineer,"Flask, PyTorch, Reinforcement Learning, MLflow",Senior,Contract,"West Regina, AG",146097-192440,2024-08-22,Startup,"LangChain, PyTorch",146097.0,192440.0,169268.5
374,"Cummings, Ball and Owens",Healthcare,Data Analyst,"C++, NumPy, CUDA, GCP, TensorFlow, Hugging Face",Entry,Full-time,"Boydtown, HT",50137-121449,2025-03-20,Mid,"TensorFlow, Scikit-learn, PyTorch",50137.0,121449.0,85793.0
375,"Harrington, Gross and Kim",Tech,NLP Engineer,"Flask, CUDA, AWS",Senior,Full-time,"Lake Lisamouth, CR",96091-176352,2024-11-25,Startup,Scikit-learn,96091.0,176352.0,136221.5
376,"Bryan, Harding and Hamilton",Finance,AI Product Manager,"R, Python, PyTorch, GCP, Power BI",Senior,Contract,"Campbellburgh, PL",118753-156568,2025-05-03,Mid,"MLflow, TensorFlow",118753.0,156568.0,137660.5
377,"Miller, Cox and Clark",Tech,Quant Researcher,"Hugging Face, MLflow, CUDA",Entry,Contract,"Jacksonberg, MR",56022-87385,2023-09-24,Large,"KDB+, PyTorch",56022.0,87385.0,71703.5
378,Watson-Boyle,Education,NLP Engineer,"FastAPI, TensorFlow, PyTorch",Senior,Full-time,"Geraldville, TT",65449-93935,2024-08-22,Mid,"Scikit-learn, PyTorch, TensorFlow",65449.0,93935.0,79692.0
379,"Montoya, Chambers and Bennett",E-commerce,Quant Researcher,"Excel, CUDA, Keras",Entry,Remote,"Odommouth, JO",53432-134809,2024-02-09,Startup,"PyTorch, Scikit-learn",53432.0,134809.0,94120.5
380,"Fields, Porter and Martinez",Finance,Quant Researcher,"Power BI, FastAPI, Azure, MLflow, CUDA",Entry,Full-time,"New Dawn, CV",91250-117518,2025-02-10,Mid,"KDB+, Scikit-learn, FastAPI",91250.0,117518.0,104384.0
381,"Gallegos, Ruiz and Ross",E-commerce,Data Scientist,"Reinforcement Learning, Hugging Face, GCP, Excel, MLflow, CUDA",Senior,Contract,"Proctorbury, HR",56274-130011,2024-10-24,Large,MLflow,56274.0,130011.0,93142.5
382,Ingram LLC,Retail,Computer Vision Engineer,"Keras, Excel, Power BI, SQL, GCP",Mid,Internship,"Gonzalezbury, TW",100532-123437,2025-07-28,Large,"KDB+, TensorFlow",100532.0,123437.0,111984.5
383,Moody Inc,E-commerce,AI Product Manager,"LangChain, Scikit-learn, Keras, Power BI, Excel",Senior,Remote,"West Benjamin, DJ",133743-144254,2023-11-13,Mid,"Scikit-learn, FastAPI",133743.0,144254.0,138998.5
384,Walls-Kidd,Tech,AI Product Manager,"SQL, CUDA, AWS",Entry,Remote,"Wheelermouth, UY",44510-92759,2023-10-20,Startup,TensorFlow,44510.0,92759.0,68634.5
385,Mullins Group,Automotive,NLP Engineer,"SQL, C++, CUDA, GCP, Flask, Reinforcement Learning",Entry,Contract,"Brianview, DJ",88577-147284,2025-05-16,Mid,BigQuery,88577.0,147284.0,117930.5
386,King Group,Healthcare,NLP Engineer,"C++, Excel, Scikit-learn, FastAPI, Power BI",Mid,Full-time,"New Jeffreyhaven, AE",129724-218042,2024-06-04,Large,"LangChain, PyTorch",129724.0,218042.0,173883.0
387,Hansen-Stone,Retail,Quant Researcher,"C++, CUDA, Power BI, Azure, AWS, PyTorch",Entry,Internship,"West William, ID",41023-80713,2024-03-15,Mid,KDB+,41023.0,80713.0,60868.0
388,Gardner Group,Retail,ML Engineer,"LangChain, Pandas, Scikit-learn, CUDA, Reinforcement Learning, TensorFlow",Entry,Internship,"Port Monicaborough, KW",106371-127550,2025-04-16,Startup,PyTorch,106371.0,127550.0,116960.5
389,Leonard-Duke,Retail,AI Researcher,"Keras, PyTorch, AWS, SQL",Mid,Internship,"Patrickfurt, BD",56530-75014,2025-01-04,Mid,Scikit-learn,56530.0,75014.0,65772.0
390,Patton and Sons,Retail,NLP Engineer,"Power BI, GCP, TensorFlow, CUDA, MLflow",Entry,Internship,"West Melissa, MH",119266-200044,2024-03-14,Startup,"BigQuery, LangChain, Scikit-learn",119266.0,200044.0,159655.0
391,Vazquez PLC,Automotive,AI Product Manager,"FastAPI, NumPy, R",Senior,Remote,"New Matthew, SC",131807-227051,2025-03-20,Large,PyTorch,131807.0,227051.0,179429.0
392,Romero PLC,Tech,ML Engineer,"FastAPI, NumPy, R",Senior,Internship,"Christianland, PT",50349-109003,2024-06-22,Startup,LangChain,50349.0,109003.0,79676.0
393,Howell PLC,Healthcare,Quant Researcher,"Flask, PyTorch, GCP",Senior,Contract,"Millermouth, CF",56567-116937,2024-09-18,Mid,"LangChain, FastAPI, TensorFlow",56567.0,116937.0,86752.0
394,Beltran PLC,Retail,Data Analyst,"Azure, PyTorch, Pandas, R, GCP",Entry,Full-time,"Alexiston, UY",137094-205303,2025-04-09,Large,"FastAPI, Scikit-learn",137094.0,205303.0,171198.5
395,Browning Inc,Healthcare,ML Engineer,"PyTorch, Azure, LangChain, Python",Senior,Internship,"Shariborough, BO",123710-203362,2024-12-25,Large,"Scikit-learn, MLflow",123710.0,203362.0,163536.0
396,Strong-Davis,Healthcare,Data Scientist,"Reinforcement Learning, Scikit-learn, TensorFlow, PyTorch, Hugging Face, Flask",Mid,Contract,"Jasonbury, CD",120259-184163,2024-05-30,Startup,PyTorch,120259.0,184163.0,152211.0
397,"Richardson, Burton and Stephens",Finance,Quant Researcher,"LangChain, Pandas, Power BI",Entry,Remote,"Timothyland, LR",131912-166499,2024-09-23,Mid,"TensorFlow, FastAPI",131912.0,166499.0,149205.5
398,Salinas-Taylor,Retail,NLP Engineer,"PyTorch, MLflow, LangChain",Entry,Internship,"Georgeport, CI",74468-85718,2025-09-13,Mid,KDB+,74468.0,85718.0,80093.0
399,Hunt Ltd,Finance,Data Analyst,"SQL, GCP, PyTorch",Entry,Remote,"Jacksonfort, PG",43013-128940,2025-09-13,Startup,"KDB+, TensorFlow, PyTorch",43013.0,128940.0,85976.5
400,Carr Group,Education,Data Scientist,"C++, GCP, Reinforcement Learning, R, Python, Power BI",Entry,Full-time,"Murphymouth, GM",55605-70305,2024-09-23,Startup,"PyTorch, KDB+, LangChain",55605.0,70305.0,62955.0
401,Harris LLC,E-commerce,NLP Engineer,"Reinforcement Learning, Pandas, NumPy, FastAPI",Entry,Full-time,"South Randytown, PA",99742-185700,2024-10-25,Mid,TensorFlow,99742.0,185700.0,142721.0
402,Reyes-Lowery,Automotive,AI Product Manager,"Pandas, Keras, Scikit-learn, TensorFlow",Mid,Internship,"Samanthaborough, VA",103675-173394,2024-07-26,Startup,BigQuery,103675.0,173394.0,138534.5
403,"Charles, Henry and Stark",Education,Computer Vision Engineer,"FastAPI, AWS, Hugging Face, R",Mid,Remote,"Valenzuelaborough, BF",126438-181388,2024-04-25,Startup,PyTorch,126438.0,181388.0,153913.0
404,"Hill, Lucas and Alvarez",Healthcare,NLP Engineer,"C++, PyTorch, Flask",Mid,Remote,"Adamport, LC",45855-71005,2025-01-16,Mid,KDB+,45855.0,71005.0,58430.0
405,Stone-Lee,Tech,AI Researcher,"LangChain, Pandas, AWS",Mid,Contract,"North Rebecca, LS",77831-145508,2024-06-24,Large,FastAPI,77831.0,145508.0,111669.5
406,"Johnson, Williams and Perkins",Finance,Quant Researcher,"AWS, GCP, Azure, Scikit-learn, Python",Mid,Internship,"Bennettland, SN",91591-110529,2024-11-11,Mid,"FastAPI, TensorFlow",91591.0,110529.0,101060.0
407,Hays-Smith,Finance,AI Researcher,"FastAPI, NumPy, Excel",Entry,Full-time,"North Kristin, LC",115140-139207,2024-04-21,Mid,"MLflow, TensorFlow",115140.0,139207.0,127173.5
408,Hansen-Martin,Healthcare,ML Engineer,"Reinforcement Learning, GCP, PyTorch",Senior,Full-time,"Jessicaborough, BB",52749-82725,2024-11-08,Startup,"LangChain, MLflow, Scikit-learn",52749.0,82725.0,67737.0
409,Calderon Inc,Retail,Quant Researcher,"GCP, SQL, R, AWS",Mid,Remote,"Alexanderfort, PT",59860-82154,2024-11-29,Startup,LangChain,59860.0,82154.0,71007.0
410,Brown Group,Healthcare,AI Researcher,"CUDA, SQL, AWS, Azure, Python",Senior,Contract,"Jameston, RO",134954-197152,2025-08-19,Startup,"LangChain, Scikit-learn",134954.0,197152.0,166053.0
411,"Robertson, Davis and Gray",Tech,Data Analyst,"Excel, Scikit-learn, Flask, Power BI",Senior,Contract,"Martintown, TW",89200-180591,2025-08-09,Startup,"KDB+, FastAPI",89200.0,180591.0,134895.5
412,"Anderson, Lawrence and Drake",Automotive,AI Researcher,"FastAPI, Azure, Pandas, NumPy",Entry,Full-time,"Annastad, AT",54169-136576,2025-06-28,Startup,"BigQuery, TensorFlow, KDB+",54169.0,136576.0,95372.5
413,Lynn-Burke,Healthcare,Data Scientist,"PyTorch, Power BI, Scikit-learn",Entry,Remote,"East Carolport, BA",77375-151774,2024-12-17,Startup,"LangChain, MLflow",77375.0,151774.0,114574.5
414,Travis-Glass,Healthcare,AI Product Manager,"Hugging Face, PyTorch, Reinforcement Learning, MLflow, Scikit-learn",Mid,Internship,"Simmonsside, MW",44125-73147,2025-08-11,Large,"MLflow, Scikit-learn",44125.0,73147.0,58636.0
415,Leonard LLC,Education,Data Analyst,"LangChain, Python, MLflow, TensorFlow, FastAPI",Entry,Internship,"Bellfort, MV",68767-93624,2025-02-05,Mid,FastAPI,68767.0,93624.0,81195.5
416,"Kim, Allison and Ryan",Retail,ML Engineer,"Keras, Python, SQL",Mid,Contract,"Bowersberg, BD",43289-102091,2024-11-29,Large,"KDB+, PyTorch",43289.0,102091.0,72690.0
417,"Ellis, Townsend and Harrison",Finance,AI Product Manager,"SQL, R, TensorFlow, Flask",Entry,Internship,"South Andreamouth, AF",99708-126007,2024-05-19,Mid,"KDB+, LangChain",99708.0,126007.0,112857.5
418,"Steele, Aguilar and Jackson",Finance,ML Engineer,"Reinforcement Learning, Keras, NumPy, Pandas, Hugging Face, R",Entry,Contract,"North Amandamouth, IE",57692-81756,2025-04-06,Large,TensorFlow,57692.0,81756.0,69724.0
419,Peck Group,Finance,AI Researcher,"Python, LangChain, CUDA, C++",Mid,Full-time,"West Christopherville, HR",54082-149736,2025-09-17,Mid,LangChain,54082.0,149736.0,101909.0
420,Higgins-Hall,E-commerce,Data Analyst,"Keras, R, NumPy, Reinforcement Learning",Mid,Contract,"Suttonland, MV",101456-135672,2024-03-16,Startup,"Scikit-learn, KDB+, MLflow",101456.0,135672.0,118564.0
421,"Hicks, Sullivan and Kline",Education,AI Researcher,"TensorFlow, Keras, Python, FastAPI",Mid,Contract,"Steveborough, LR",77948-107734,2025-03-15,Startup,"LangChain, FastAPI, TensorFlow",77948.0,107734.0,92841.0
422,Marquez and Sons,Retail,AI Researcher,"Pandas, C++, PyTorch, TensorFlow",Mid,Contract,"East Aaron, IQ",143838-191740,2024-02-19,Mid,LangChain,143838.0,191740.0,167789.0
423,Moore-Mann,Education,Quant Researcher,"FastAPI, CUDA, R, Scikit-learn",Entry,Contract,"Melvintown, HT",64090-112937,2024-02-20,Large,"TensorFlow, PyTorch",64090.0,112937.0,88513.5
424,Ramirez Ltd,Finance,ML Engineer,"LangChain, MLflow, Flask, AWS",Entry,Internship,"South Jeremyton, AM",67555-113613,2025-07-11,Large,LangChain,67555.0,113613.0,90584.0
425,"Garcia, Drake and Gonzalez",Finance,Computer Vision Engineer,"Excel, FastAPI, Hugging Face, LangChain, Flask",Senior,Full-time,"Jamesfurt, BW",73755-149397,2024-12-14,Startup,"BigQuery, Scikit-learn",73755.0,149397.0,111576.0
426,"Edwards, Jackson and Baker",Automotive,Data Analyst,"NumPy, MLflow, TensorFlow",Entry,Contract,"Sullivanshire, WS",147219-223596,2024-11-11,Large,"PyTorch, TensorFlow",147219.0,223596.0,185407.5
427,Turner Group,E-commerce,NLP Engineer,"TensorFlow, Power BI, GCP, Flask, Keras, Pandas",Entry,Internship,"Mariaburgh, AT",120574-164253,2025-02-13,Mid,"FastAPI, BigQuery, TensorFlow",120574.0,164253.0,142413.5
428,Castro PLC,Education,Quant Researcher,"TensorFlow, GCP, Reinforcement Learning, Hugging Face",Senior,Internship,"West Tammie, KW",76450-162635,2023-11-30,Startup,"PyTorch, TensorFlow, KDB+",76450.0,162635.0,119542.5
429,"Coffey, Shannon and Mclean",Automotive,ML Engineer,"MLflow, Keras, Reinforcement Learning, Flask, TensorFlow, R",Entry,Full-time,"Johnfurt, MR",105179-161042,2025-05-30,Startup,"PyTorch, KDB+",105179.0,161042.0,133110.5
430,Wilcox Ltd,Automotive,Computer Vision Engineer,"FastAPI, R, Scikit-learn, SQL",Mid,Full-time,"Robertsonbury, VN",100296-111823,2024-03-07,Startup,"TensorFlow, FastAPI",100296.0,111823.0,106059.5
431,Mcbride-Skinner,E-commerce,AI Product Manager,"PyTorch, CUDA, Reinforcement Learning, C++",Entry,Full-time,"Port Daleborough, MW",53381-103735,2025-06-19,Mid,"TensorFlow, BigQuery, LangChain",53381.0,103735.0,78558.0
432,Alexander Inc,E-commerce,AI Researcher,"FastAPI, C++, MLflow, Reinforcement Learning",Senior,Full-time,"East Lynnchester, FI",116301-214253,2024-06-27,Large,"TensorFlow, MLflow",116301.0,214253.0,165277.0
433,Ramsey-Barnes,Tech,AI Researcher,"LangChain, Python, AWS, R, Azure, Pandas",Entry,Contract,"Jackburgh, BB",140443-182231,2023-11-29,Mid,"BigQuery, MLflow, KDB+",140443.0,182231.0,161337.0
434,Clark and Sons,Retail,NLP Engineer,"FastAPI, NumPy, C++, Azure",Entry,Contract,"East Samuelfort, PS",92799-159163,2024-07-10,Mid,"MLflow, KDB+, FastAPI",92799.0,159163.0,125981.0
435,Blair-Shaffer,Tech,AI Product Manager,"Keras, PyTorch, R, Hugging Face, CUDA",Entry,Contract,"Lindseymouth, CM",48181-75949,2024-08-29,Startup,BigQuery,48181.0,75949.0,62065.0
436,Salazar-Clark,Retail,Quant Researcher,"Reinforcement Learning, AWS, Azure, Pandas, Keras, Power BI",Entry,Full-time,"New Samanthaport, MC",72489-167549,2024-03-21,Mid,"TensorFlow, BigQuery",72489.0,167549.0,120019.0
437,Jones-Simpson,E-commerce,Computer Vision Engineer,"TensorFlow, CUDA, MLflow",Senior,Internship,"Charlottechester, BZ",140658-230833,2023-11-08,Mid,"TensorFlow, BigQuery",140658.0,230833.0,185745.5
438,Johnson-Jackson,Finance,Data Scientist,"R, MLflow, Reinforcement Learning, Azure",Entry,Remote,"Lake Meganborough, MX",130536-167334,2025-07-06,Large,"TensorFlow, KDB+",130536.0,167334.0,148935.0
439,Lane-Rodriguez,Finance,Quant Researcher,"Scikit-learn, Excel, Azure, Flask, Hugging Face, Pandas",Senior,Full-time,"South Katherine, DE",81950-133686,2024-03-30,Startup,"PyTorch, LangChain, KDB+",81950.0,133686.0,107818.0
440,"Jones, Thompson and Gomez",Education,Quant Researcher,"Power BI, Hugging Face, GCP",Senior,Contract,"West Gregorychester, ET",134169-173479,2024-05-04,Large,Scikit-learn,134169.0,173479.0,153824.0
441,"Ho, Mitchell and King",Automotive,ML Engineer,"NumPy, LangChain, R, Scikit-learn",Senior,Contract,"Port Carolineside, SG",40824-92636,2025-03-16,Large,TensorFlow,40824.0,92636.0,66730.0
442,Mathis-Davila,Tech,Quant Researcher,"SQL, Hugging Face, Keras, AWS, MLflow, R",Mid,Internship,"West Bethchester, HR",94799-136985,2024-10-13,Startup,"LangChain, PyTorch, FastAPI",94799.0,136985.0,115892.0
